nome,ano,empresa,genero,era
Waku,1954,MARVEL,MASCULINO,Era de Ouro dos Quadrinhos
Gabe Jones[1],1963,MARVEL,MASCULINO,Era de Prata dos Quadrinhos
Pantera Negra,1966,MARVEL,MASCULINO,Era de Prata dos Quadrinhos
Golias Negro(Bill Foster),1966,MARVEL,MASCULINO,Era de Prata dos Quadrinhos
Falcão,1969,MARVEL,MASCULINO,Era de Prata dos Quadrinhos
Marvel Azul (Adam Brashear),1970,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Lanterna Verde - John Stewart,1971,DC,MASCULINO,Era de Bronze dos Quadrinhos
Luke Cage,1972,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Blade,1973,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Brother Voodoo,1973,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Núbia,1973,DC,FEMININO,Era de Bronze dos Quadrinhos
Tilda Johnson - Deadly Nightshade,1973,MARVEL,FEMININO,Era de Bronze dos Quadrinhos
Spider Woman (Valeri),1974,MARVEL,FEMININO,Era de Bronze dos Quadrinhos
"Ororo Munroe-Tempestade",1975,MARVEL,FEMININO,Era de Bronze dos Quadrinhos
"Abelha (JovensTitãs)",1976,DC,FEMININO,Era de Bronze dos Quadrinhos
Condor,1976,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Esfinge (The Sphinx),1977,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Rocket Racer,1977,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
"Raio Negro  (BlackLightning)",1977,DC,MASCULINO,Era de Bronze dos Quadrinhos
"James Rhodes(Máquina DeComabate)",1979,MARVEL,MASCULINO,Era de Bronze dos Quadrinhos
Cyborg,1980,DC,MASCULINO,Era Moderna dos Quadrinhos
Vixen,1981,DC,FEMININO,Era Moderna dos Quadrinhos
"Capitã Marvel(Monica Rambeau)",1982,MARVEL,FEMININO,Era Moderna dos Quadrinhos
Manto,1982,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
"Admirável (WillEverett Ii)",1987,DC,MASCULINO,Era Moderna dos Quadrinhos
Vulcão Negro,1988,DC,MASCULINO,Era Moderna dos Quadrinhos
Bishop,1991,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
Aço,1993,DC,MASCULINO,Era Moderna dos Quadrinhos
"Bloodwynd (FreddyWidmer)",1993,DC,MASCULINO,Era Moderna dos Quadrinhos
Hardware,1993,DC,MASCULINO,Era Moderna dos Quadrinhos
Ícone,1993,DC,MASCULINO,Era Moderna dos Quadrinhos
Super-Choque,1993,DC,MASCULINO,Era Moderna dos Quadrinhos
Dra. Cecília Reyes,1997,MARVEL,FEMININO,Era Moderna dos Quadrinhos
Fatality,1997,DC,FEMININO,Era Moderna dos Quadrinhos
Larval,1997,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
"Mr. Terrific (MichaelHolt)",1997,DC,MASCULINO,Era Moderna dos Quadrinhos
Ladyhawk,1999,MARVEL,FEMININO,Era Moderna dos Quadrinhos
Spyke,2000,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
Dobra - Vingadores,2009,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
"Kalel (Terra 23)Superman",2009,DC,MASCULINO,Era Moderna dos Quadrinhos
"Aqualad(Kaldur ́Ahm)",2010,DC,MASCULINO,Era Moderna dos Quadrinhos
"Batwing - DavidZavimbe",2011,DC,MASCULINO,Era Moderna dos Quadrinhos
"Mile Morales -Homem Aranha",2011,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
"Wally West (Flash -Novos 52)",2011,DC,MASCULINO,Era Moderna dos Quadrinhos
Nick Fury Jr,2012,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
Batwing -  Luke Fox,2013,DC,MASCULINO,Era Moderna dos Quadrinhos
Christopher Muse - Triage (X-Men),2013,MARVEL,MASCULINO,Era Moderna dos Quadrinhos
Duke Thomas,2013,DC,MASCULINO,Era Moderna dos Quadrinhos
Ironheart - Riri Willians,2016,MARVEL,FEMININO,Era Moderna dos Quadrinhos
Moon Girl - Lunella Lafayette,2016,MARVEL,FEMININO,Era Moderna dos Quadrinhos
